EDT;ID;Fase;Pacote;Atividade;Início;Fim;Duração_sem;Status;Entregável;S01_2026-01-05;S02_2026-01-12;S03_2026-01-19;S04_2026-01-26;S05_2026-02-02;S06_2026-02-09;S07_2026-02-16;S08_2026-02-23;S09_2026-03-02;S10_2026-03-09;S11_2026-03-16;S12_2026-03-23;S13_2026-03-30;S14_2026-04-06;S15_2026-04-13;S16_2026-04-20;S17_2026-04-27;S18_2026-05-04;S19_2026-05-11;S20_2026-05-18;S21_2026-05-25;S22_2026-06-01;S23_2026-06-08;S24_2026-06-15;S25_2026-06-22;S26_2026-06-29;S27_2026-07-06;S28_2026-07-13;S29_2026-07-20;S30_2026-07-27;S31_2026-08-03;S32_2026-08-10;S33_2026-08-17;S34_2026-08-24;S35_2026-08-31;S36_2026-09-07;S37_2026-09-14;S38_2026-09-21;S39_2026-09-28;S40_2026-10-05;S41_2026-10-12;S42_2026-10-19;S43_2026-10-26;S44_2026-11-02;S45_2026-11-09;S46_2026-11-16;S47_2026-11-23;S48_2026-11-30;S49_2026-12-07;S50_2026-12-14;S51_2026-12-21;S52_2026-12-28
F2.4;C09;F2;CPU RTL;Implementar suporte Thumb e transição entre estados ARM e Thumb;2026-04-06;2026-04-17;2;Concluída;Decoder Thumb integrado;;;;;;;;;;;;;;C;C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
F2.5;C10;F2;Exceções;Implementar Reset, SWI, Undefined, Abort, IRQ e FIQ;2026-04-13;2026-04-24;2;Concluída;Tratamento completo de exceções;;;;;;;;;;;;;;;C;C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
F2.6;C11;F2;Validação CPU;Criar e executar programas de teste ARM e Thumb com geração de HEX/MIF;2026-04-20;2026-04-30;2;Concluída;Conjunto de programas de regressão;;;;;;;;;;;;;;;;C;C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
F2.7;C12;F2;Hardware CPU;Sintetizar núcleo na DE1-SoC e validar com SignalTap e displays HEX;2026-04-27;2026-05-01;1;Concluída;Demonstração intermediária da CPU;;;;;;;;;;;;;;;;;C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
F2.8;C13;F2;Documentação;Atualizar monografia e material intermediário com estado da CPU;2026-04-27;2026-05-08;2;Concluída;Texto e figuras da entrega intermediária;;;;;;;;;;;;;;;;;C;C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
F3;;F3;Subsistema de memória;F3 - Subsistema de memória;2026-05-04;2026-06-30;9;Resumo;Conjunto de entregáveis da fase;;;;;;;;;;;;;;;;;;#;#;#;#;#;#;#;#;#;;;;;;;;;;;;;;;;;;;;;;;;;;
F3.1;C14;F3;Memória interna;Implementar ou revisar módulos BIOS, EWRAM, IWRAM, I/O, Palette, VRAM, OAM e Cart RAM;2026-05-04;2026-05-15;2;Concluída;Módulos de região sintetizáveis;;;;;;;;;;;;;;;;;;C;C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
F3.2;C15;F3;Barramento;Implementar bus_controller com decodificação por região, MAS e mux de leitura;2026-05-11;2026-05-22;2;Concluída;Controlador de barramento integrado;;;;;;;;;;;;;;;;;;;C;C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
F3.3;C16;F3;SDRAM;Integrar controlador SDRAM para PAK_ROM e definir interface host de 16 bits;2026-05-18;2026-05-29;2;Concluída;Controlador SDRAM no projeto;;;;;;;;;;;;;;;;;;;;C;C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
F3.4;C17;F3;CDC SDRAM;Validar wrapper CDC com sincronização de requisições, busy e rd_ready;2026-05-25;2026-06-12;3;Concluída;Wrapper SDRAM revisado;;;;;;;;;;;;;;;;;;;;;C;C;C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
F3.5;C18;F3;DMA;Integrar bus_arbiter e DMA0 ao caminho de dados compartilhado;2026-06-01;2026-06-12;2;Concluída;DMA0 conectado ao barramento;;;;;;;;;;;;;;;;;;;;;;C;C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
F3.6;C19;F3;DMA;Corrigir campos de controle, tamanho de transferência e mux de leitura halfword do DMA0;2026-06-08;2026-06-19;2;Em andamento;DMA0 imediato funcional;;;;;;;;;;;;;;;;;;;;;;;A;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;
F3.7;C20;F3;Validação memória;Criar testbench integrado para DMA0, bus_arbiter, bus_controller e regiões de memória;2026-06-09;2026-06-23;2;Em andamento;Testbench de integração de memória;;;;;;;;;;;;;;;;;;;;;;;A;A;A;;;;;;;;;;;;;;;;;;;;;;;;;;;
F3.8;C21;F3;Hardware memória;Executar síntese, teste em placa e captura SignalTap do caminho CPU para memória e SDRAM;2026-06-16;2026-06-30;2;Prevista;Relatório de validação da Camada 2;;;;;;;;;;;;;;;;;;;;;;;;P;P;P;;;;;;;;;;;;;;;;;;;;;;;;;;
F3.9;C22;F3;Marco F3;Congelar escopo da Camada 2 para iniciar vídeo com base estável;2026-06-29;2026-06-30;1;Prevista;Marco de fechamento F3;;;;;;;;;;;;;;;;;;;;;;;;;;P;;;;;;;;;;;;;;;;;;;;;;;;;;
F4;;F4;Vídeo;F4 - Vídeo;2026-07-01;2026-09-04;10;Resumo;Conjunto de entregáveis da fase;;;;;;;;;;;;;;;;;;;;;;;;;;#;#;#;#;#;#;#;#;#;#;;;;;;;;;;;;;;;;;
F4.1;C23;F4;Vídeo planejamento;Definir escopo mínimo do PPU para a prova de conceito, priorizando Modo 3 bitmap 16 bpp;2026-07-01;2026-07-03;1;Prevista;Especificação mínima de vídeo;;;;;;;;;;;;;;;;;;;;;;;;;;P;;;;;;;;;;;;;;;;;;;;;;;;;;
F4.2;C24;F4;VGA;Implementar gerador de sincronismo VGA e blanking compatível com monitor;2026-07-06;2026-07-17;2;Prevista;Módulo de timing VGA;;;;;;;;;;;;;;;;;;;;;;;;;;;P;P;;;;;;;;;;;;;;;;;;;;;;;;
F4.3;C25;F4;Framebuffer;Mapear framebuffer 240x160 na VRAM e definir caminho de escrita pela CPU;2026-07-13;2026-07-31;3;Prevista;VRAM endereçável como framebuffer;;;;;;;;;;;;;;;;;;;;;;;;;;;;P;P;P;;;;;;;;;;;;;;;;;;;;;;
F4.4;C26;F4;PPU;Implementar pipeline de leitura de pixel e conversão RGB 15 bpp para saída VGA;2026-07-27;2026-08-14;3;Prevista;PPU Modo 3 inicial;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;P;P;P;;;;;;;;;;;;;;;;;;;;
F4.5;C27;F4;Vídeo testes;Criar programas ARM para preencher VRAM com barras, gradiente e imagem simples;2026-08-10;2026-08-21;2;Prevista;Testes de vídeo em assembly;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;P;P;;;;;;;;;;;;;;;;;;;
F4.6;C28;F4;Hardware vídeo;Integrar PPU ao top-level, compilar no Quartus e validar saída VGA na DE1-SoC;2026-08-17;2026-08-31;2;Prevista;Demonstração de vídeo em monitor;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;P;P;P;;;;;;;;;;;;;;;;;
F4.7;C29;F4;Marco F4;Atualizar monografia com arquitetura de vídeo, limitações e resultados;2026-08-24;2026-09-04;2;Prevista;Seção de vídeo revisada;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;P;P;;;;;;;;;;;;;;;;;
F5;;F5;Entrada, interrupções e áudio;F5 - Entrada, interrupções e áudio;2026-09-01;2026-11-06;10;Resumo;Conjunto de entregáveis da fase;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;#;#;#;#;#;#;#;#;#;#;;;;;;;;
F5.1;C30;F5;Interrupções;Ligar eventos de VBlank, HBlank e temporizadores básicos ao controlador de interrupções;2026-09-01;2026-09-18;3;Prevista;Interrupções úteis ao sistema;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;P;P;P;;;;;;;;;;;;;;;
F5.2;C31;F5;Entrada;Implementar leitura de botões da DE1-SoC como registrador de keypad compatível com o mapa de I/O;2026-09-14;2026-09-25;2;Prevista;Interface de entrada inicial;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;P;P;;;;;;;;;;;;;;
F5.3;C32;F5;Timers;Implementar temporizadores mínimos para testes de sincronização e suporte a interrupções;2026-09-21;2026-10-02;2;Prevista;Timers integrados aos I/O registers;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;P;P;;;;;;;;;;;;;
F5.4;C33;F5;Áudio;Definir escopo mínimo de som para prova de conceito e interface com codec ou saída disponível;2026-10-05;2026-10-09;1;Prevista;Especificação de áudio mínima;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;P;;;;;;;;;;;;
F5.5;C34;F5;Áudio;Implementar gerador de som simples e registradores de controle necessários;2026-10-12;2026-10-23;2;Prevista;Bloco de áudio inicial;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;P;P;;;;;;;;;;
F5.6;C35;F5;Integração entrada e áudio;Criar demonstração com entrada do usuário alterando vídeo e áudio;2026-10-19;2026-10-30;2;Prevista;Demo interativa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;P;P;;;;;;;;;
F5.7;C36;F5;Documentação F5;Atualizar documentação com entrada, interrupções, timers e áudio implementados;2026-10-26;2026-11-06;2;Prevista;Texto e diagramas atualizados;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;P;P;;;;;;;;
F6;;F6;Integração e entrega final;F6 - Integração e entrega final;2026-11-02;2026-12-23;8;Resumo;Conjunto de entregáveis da fase;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;#;#;#;#;#;#;#;#;
F6.1;C37;F6;ROM;Definir fluxo final de carga de ROM para SDRAM, por SD Card ou alternativa documentada;2026-11-02;2026-11-06;1;Prevista;Plano de carga de ROM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;P;;;;;;;;
F6.2;C38;F6;ROM;Implementar ou consolidar carga da ROM de cartucho na SDRAM usada pela PAK_ROM;2026-11-09;2026-11-20;2;Prevista;Fluxo de carga de ROM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;P;P;;;;;;
F6.3;C39;F6;Software teste;Selecionar homebrew ou ROM de teste compatível com o escopo implementado;2026-11-16;2026-11-20;1;Prevista;Programa alvo final;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;P;;;;;;
F6.4;C40;F6;Validação final;Executar regressão completa em simulação para CPU, memória, DMA, vídeo, entrada e áudio;2026-11-23;2026-12-04;2;Prevista;Relatório de regressão;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;P;P;;;;
F6.5;C41;F6;Hardware final;Compilar projeto completo no Quartus, fechar timing e validar na DE1-SoC;2026-11-30;2026-12-11;2;Prevista;Build final e arquivo SOF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;P;P;;;
F6.6;C42;F6;Demonstração;Gravar evidências da execução final em placa com vídeo, entrada e resultado observável;2026-12-07;2026-12-11;1;Prevista;Vídeo, fotos ou roteiro de demonstração;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;P;;;
F6.7;C43;F6;Monografia final;Revisar monografia, figuras, referências, resultados, limitações e conclusão;2026-12-07;2026-12-18;2;Prevista;Monografia final;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;P;P;;
F6.8;C44;F6;Entrega final;Preparar apresentação final, anexos, código limpo e instruções de reprodução;2026-12-14;2026-12-23;2;Prevista;Pacote de entrega final;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;P;P;
