ID;Fase;Pacote;Atividade;Início;Fim;Duração_sem;Status;Entregável;Critério_de_conclusão;Observações
C16;F3;SDRAM;Integrar controlador SDRAM para PAK_ROM e definir interface host de 16 bits;2026-05-18;2026-05-29;2;Concluída;Controlador SDRAM no projeto;Leitura de ROM via região 0x8 a 0xD responde ao barramento;SDRAM limitada à ROM de cartucho
C17;F3;CDC SDRAM;Validar wrapper CDC com sincronização de requisições, busy e rd_ready;2026-05-25;2026-06-12;3;Concluída;Wrapper SDRAM revisado;Requisições não são perdidas durante refresh e leituras retornam dados estáveis;Busy curto é comportamento aceito do projeto
C18;F3;DMA;Integrar bus_arbiter e DMA0 ao caminho de dados compartilhado;2026-06-01;2026-06-12;2;Concluída;DMA0 conectado ao barramento;DMA0 arbitra contra CPU, gera endereço e controla nRW corretamente;DMA1 a DMA3 permanecem planejados
C19;F3;DMA;Corrigir campos de controle, tamanho de transferência e mux de leitura halfword do DMA0;2026-06-08;2026-06-19;2;Em andamento;DMA0 imediato funcional;Transferências halfword e word passam em teste dedicado;Fechar pendências antes de avançar vídeo
C20;F3;Validação memória;Criar testbench integrado para DMA0, bus_arbiter, bus_controller e regiões de memória;2026-06-09;2026-06-23;2;Em andamento;Testbench de integração de memória;Casos de leitura, escrita e DMA passam sem regressão;Pode usar Icarus para checagens rápidas
C21;F3;Hardware memória;Executar síntese, teste em placa e captura SignalTap do caminho CPU para memória e SDRAM;2026-06-16;2026-06-30;2;Prevista;Relatório de validação da Camada 2;Acesso integrado CPU, DMA e SDRAM demonstrado em hardware;Depende de disponibilidade do Quartus e da placa
C22;F3;Marco F3;Congelar escopo da Camada 2 para iniciar vídeo com base estável;2026-06-29;2026-06-30;1;Prevista;Marco de fechamento F3;Pendências críticas de memória registradas ou corrigidas;Se houver defeito bloqueante, replanejar F4
C23;F4;Vídeo planejamento;Definir escopo mínimo do PPU para a prova de conceito, priorizando Modo 3 bitmap 16 bpp;2026-07-01;2026-07-03;1;Prevista;Especificação mínima de vídeo;Modo, formato de pixel, endereçamento e limitações documentados;Evita implementar modos não necessários
C24;F4;VGA;Implementar gerador de sincronismo VGA e blanking compatível com monitor;2026-07-06;2026-07-17;2;Prevista;Módulo de timing VGA;Sinais HS, VS, blanking e coordenadas são estáveis em simulação;Pode usar resolução escalada a partir de 240x160
C25;F4;Framebuffer;Mapear framebuffer 240x160 na VRAM e definir caminho de escrita pela CPU;2026-07-13;2026-07-31;3;Prevista;VRAM endereçável como framebuffer;CPU escreve pixels e PPU lê sem conflito funcional grave;Avaliar arbitragem ou janela de leitura
C26;F4;PPU;Implementar pipeline de leitura de pixel e conversão RGB 15 bpp para saída VGA;2026-07-27;2026-08-14;3;Prevista;PPU Modo 3 inicial;Padrões de cor aparecem corretamente na simulação;Incluir tratamento de blanking
C27;F4;Vídeo testes;Criar programas ARM para preencher VRAM com barras, gradiente e imagem simples;2026-08-10;2026-08-21;2;Prevista;Testes de vídeo em assembly;Imagens esperadas aparecem em simulação ou placa;Substitui testes apenas em HEX para visualização
C28;F4;Hardware vídeo;Integrar PPU ao top-level, compilar no Quartus e validar saída VGA na DE1-SoC;2026-08-17;2026-08-31;2;Prevista;Demonstração de vídeo em monitor;Imagem estável e sem artefatos bloqueantes no monitor;Marco principal da F4
C29;F4;Marco F4;Atualizar monografia com arquitetura de vídeo, limitações e resultados;2026-08-24;2026-09-04;2;Prevista;Seção de vídeo revisada;Texto reflete o que foi implementado e validado;Pode cruzar com início de F5
C30;F5;Interrupções;Ligar eventos de VBlank, HBlank e temporizadores básicos ao controlador de interrupções;2026-09-01;2026-09-18;3;Prevista;Interrupções úteis ao sistema;IRQ de VBlank observável em programa de teste;Necessário para software mais próximo de GBA
C31;F5;Entrada;Implementar leitura de botões da DE1-SoC como registrador de keypad compatível com o mapa de I/O;2026-09-14;2026-09-25;2;Prevista;Interface de entrada inicial;Programa ARM lê botões e altera estado de vídeo;Mapeamento pode ser simplificado
C32;F5;Timers;Implementar temporizadores mínimos para testes de sincronização e suporte a interrupções;2026-09-21;2026-10-02;2;Prevista;Timers integrados aos I/O registers;Contadores e IRQ passam em teste dirigido;Escopo pode ser reduzido se vídeo consumir mais tempo
C33;F5;Áudio;Definir escopo mínimo de som para prova de conceito e interface com codec ou saída disponível;2026-10-05;2026-10-09;1;Prevista;Especificação de áudio mínima;Caminho de saída escolhido e limitações documentadas;Pode ser tom simples em vez de APU completa
C34;F5;Áudio;Implementar gerador de som simples e registradores de controle necessários;2026-10-12;2026-10-23;2;Prevista;Bloco de áudio inicial;Tom ou amostra simples audível em hardware;Não tenta cobrir todo o APU do GBA
C35;F5;Integração entrada e áudio;Criar demonstração com entrada do usuário alterando vídeo e áudio;2026-10-19;2026-10-30;2;Prevista;Demo interativa;Botões mudam comportamento observável em monitor e áudio;Marco de fechamento F5
C36;F5;Documentação F5;Atualizar documentação com entrada, interrupções, timers e áudio implementados;2026-10-26;2026-11-06;2;Prevista;Texto e diagramas atualizados;Monografia registra decisões de escopo e validação;Preparar fechamento final
C37;F6;ROM;Definir fluxo final de carga de ROM para SDRAM, por SD Card ou alternativa documentada;2026-11-02;2026-11-06;1;Prevista;Plano de carga de ROM;Caminho escolhido é viável dentro do tempo restante;Se SD Card bloquear, usar preload documentado
C38;F6;ROM;Implementar ou consolidar carga da ROM de cartucho na SDRAM usada pela PAK_ROM;2026-11-09;2026-11-20;2;Prevista;Fluxo de carga de ROM;ROM de teste fica disponível na SDRAM para a CPU;Manter foco em homebrew simples
C39;F6;Software teste;Selecionar homebrew ou ROM de teste compatível com o escopo implementado;2026-11-16;2026-11-20;1;Prevista;Programa alvo final;Binário usa apenas recursos suportados ou limitações conhecidas;Evita depender de modos não implementados
C40;F6;Validação final;Executar regressão completa em simulação para CPU, memória, DMA, vídeo, entrada e áudio;2026-11-23;2026-12-04;2;Prevista;Relatório de regressão;Testes principais passam ou falhas são justificadas;Usar emulador como referência quando aplicável
C41;F6;Hardware final;Compilar projeto completo no Quartus, fechar timing e validar na DE1-SoC;2026-11-30;2026-12-11;2;Prevista;Build final e arquivo SOF;Projeto programa a placa e executa demo sem falhas bloqueantes;Registrar uso de recursos e timing
C42;F6;Demonstração;Gravar evidências da execução final em placa com vídeo, entrada e resultado observável;2026-12-07;2026-12-11;1;Prevista;Vídeo, fotos ou roteiro de demonstração;Demonstração reproduzível a partir do repositório;Material apoia defesa
C43;F6;Monografia final;Revisar monografia, figuras, referências, resultados, limitações e conclusão;2026-12-07;2026-12-18;2;Prevista;Monografia final;Texto compila sem erros e reflete estado real do projeto;Não prometer componentes não implementados
C44;F6;Entrega final;Preparar apresentação final, anexos, código limpo e instruções de reprodução;2026-12-14;2026-12-23;2;Prevista;Pacote de entrega final;Repositório, documentação e apresentação prontos para banca;Marco de fechamento F6
